name,value,year,lastValue,rank
XRP,3.890323,2015.03,4.234734,1
XLM,3.887744,2017.06,0.450393,4
BTM,3.885375,2018.03,3.278824,45
STEEM,3.877554,2017.07,3.084189,22
MITH,3.876358,2018.05,1.252966,124
BTS,3.871544,2017.09,3.528104,29
BTS,3.859885,2018.04,6.000382,39
XEM,3.854238,2019.03,3.694032,19
STRAT,3.850433,2017.10,6.248713,38
SAN,3.835262,2018.01,1.206777,87
ARK,3.827497,2018.05,2.121209,62
ENG,3.819975,2018.01,0.442640,84
FUN,3.802923,2018.01,1.084878,90
GAS,3.789575,2018.03,4.478654,102
KCS,3.785307,2018.03,6.071790,47
DGB,3.783807,2018.08,2.930797,36
SYS,3.774212,2018.03,2.569525,94
PAY,3.772915,2017.09,0.963236,64
WAVES,3.757790,2018.04,6.677590,21
LSK,3.757206,2018.10,5.138097,30
RDD,3.755522,2018.01,0.343488,79
BTM,3.746662,2018.01,1.128812,43
DCR,3.721038,2018.09,4.368179,28
BCN,3.708483,2017.09,2.241073,28
CVC,3.703387,2018.01,1.050362,94
XEM,3.694032,2019.02,6.042541,19
BTG,3.684289,2018.09,4.407293,24
DCR,3.683110,2018.11,3.331343,30
NXT,3.664072,2017.12,0.614220,87
ONT,3.655867,2018.10,4.583971,15
ONT,3.630876,2018.08,8.034779,15
WAVES,3.623470,2017.07,4.526110,14
NANO,3.618810,2018.07,5.622998,41
MKR,3.618630,2019.01,2.891846,15
